0	27883					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f	cat=ndm	toponym=21 other=146 lastname=27258 firstname=47 acronym=414
164	24			Pu	P	subst:sg:gen:m3	lemma=ε lcon=p flex=u palat=n velar=n con=p cat=noun	acronym=24
165	1			Py	P	depr:pl:nom.acc.voc:m2	lemma=ε lcon=p flex=y palat=n con=p cat=noun	acronym=1
166	24			Py	P	subst:pl:nom.acc.voc:m3	lemma=ε lcon=p flex=y palat=n con=p cat=noun	acronym=24
167	1			Pów	P	subst:pl:gen.acc:m1	lemma=ε lcon=p flex=ów palat=n con=p cat=noun	acronym=1
168	24			Pów	P	subst:pl:gen:m3	lemma=ε lcon=p flex=ów palat=n con=p cat=noun	acronym=24
169	77			R	R	subst:sg:nom.acc:m3	lemma=ε lcon=r flex=ε palat=n con=r cat=noun	acronym=77
170	4			R	R	subst:sg:nom:m2	lemma=ε lcon=r flex=ε palat=n con=r cat=noun	acronym=4
171	2			Ra	R	subst:sg:gen.acc:m2	lemma=ε lcon=r flex=a palat=n con=r cat=noun	acronym=2
172	2			Rach	R	subst:pl:loc:m2	lemma=ε lcon=r flex=ach palat=n con=r cat=noun	acronym=2
173	39			Rach	R	subst:pl:loc:m3	lemma=ε lcon=r flex=ach palat=n con=r cat=noun	acronym=39
174	2			Rami	R	subst:pl:inst:m2	lemma=ε lcon=r flex=ami palat=n con=r cat=noun	acronym=2
175	39			Rami	R	subst:pl:inst:m3	lemma=ε lcon=r flex=ami palat=n con=r cat=noun	acronym=39
176	2			Rem	R	subst:sg:inst:m2	lemma=ε lcon=r flex=em palat=n con=r cat=noun	acronym=2
177	39			Rem	R	subst:sg:inst:m3	lemma=ε lcon=r flex=em palat=n con=r cat=noun	acronym=39
178	2			Rom	R	subst:pl:dat:m2	lemma=ε lcon=r flex=om palat=n con=r cat=noun	acronym=2
179	39			Rom	R	subst:pl:dat:m3	lemma=ε lcon=r flex=om palat=n con=r cat=noun	acronym=39
180	2			Rowi	R	subst:sg:dat:m2	lemma=ε lcon=r flex=owi palat=n con=r cat=noun	acronym=2
181	39			Rowi	R	subst:sg:dat:m3	lemma=ε lcon=r flex=owi palat=n con=r cat=noun	acronym=39
182	39			Ru	R	subst:sg:gen:m3	lemma=ε lcon=r flex=u palat=n velar=n con=r cat=noun	acronym=39
183	2			Ry	R	subst:pl:nom.acc.voc:m2	lemma=ε lcon=r flex=y palat=n con=r cat=noun	acronym=2
184	39			Ry	R	subst:pl:nom.acc.voc:m3	lemma=ε lcon=r flex=y palat=n con=r cat=noun	acronym=39
185	2			Rów	R	subst:pl:gen:m2	lemma=ε lcon=r flex=ów palat=n con=r cat=noun	acronym=2
186	39			Rów	R	subst:pl:gen:m3	lemma=ε lcon=r flex=ów palat=n con=r cat=noun	acronym=39
187	121			S	S	subst:sg:nom.acc:m3	lemma=ε lcon=s flex=ε palat=n con=s cat=noun	acronym=121
188	6			S	S	subst:sg:nom:m2	lemma=ε lcon=s flex=ε palat=n con=s cat=noun	acronym=6
189	3			Sa	S	subst:sg:gen.acc:m2	lemma=ε lcon=s flex=a palat=n con=s cat=noun	acronym=3
190	3			Sach	S	subst:pl:loc:m2	lemma=ε lcon=s flex=ach palat=n con=s cat=noun	acronym=3
191	59			Sach	S	subst:pl:loc:m3	lemma=ε lcon=s flex=ach palat=n con=s cat=noun	acronym=59
192	3			Sami	S	subst:pl:inst:m2	lemma=ε lcon=s flex=ami palat=n con=s cat=noun	acronym=3
193	59			Sami	S	subst:pl:inst:m3	lemma=ε lcon=s flex=ami palat=n con=s cat=noun	acronym=59
194	3			Sem	S	subst:sg:inst:m2	lemma=ε lcon=s flex=em palat=n con=s cat=noun	acronym=3
195	59			Sem	S	subst:sg:inst:m3	lemma=ε lcon=s flex=em palat=n con=s cat=noun	acronym=59
196	3			Som	S	subst:pl:dat:m2	lemma=ε lcon=s flex=om palat=n con=s cat=noun	acronym=3
197	59			Som	S	subst:pl:dat:m3	lemma=ε lcon=s flex=om palat=n con=s cat=noun	acronym=59
198	3			Sowi	S	subst:sg:dat:m2	lemma=ε lcon=s flex=owi palat=n con=s cat=noun	acronym=3
199	59			Sowi	S	subst:sg:dat:m3	lemma=ε lcon=s flex=owi palat=n con=s cat=noun	acronym=59
200	59			Su	S	subst:sg:gen:m3	lemma=ε lcon=s flex=u palat=n velar=n con=s cat=noun	acronym=59
201	3			Sy	S	subst:pl:nom.acc.voc:m2	lemma=ε lcon=s flex=y palat=n con=s cat=noun	acronym=3
202	59			Sy	S	subst:pl:nom.acc.voc:m3	lemma=ε lcon=s flex=y palat=n con=s cat=noun	acronym=59
203	3			Sów	S	subst:pl:gen:m2	lemma=ε lcon=s flex=ów palat=n con=s cat=noun	acronym=3
204	59			Sów	S	subst:pl:gen:m3	lemma=ε lcon=s flex=ów palat=n con=s cat=noun	acronym=59
205	29			T	T	subst:sg:nom.acc:m3	lemma=ε lcon=t flex=ε palat=n con=t cat=noun	acronym=29
206	14			Tach	T	subst:pl:loc:m3	lemma=ε lcon=t flex=ach palat=n con=t cat=noun	acronym=14
207	14			Tami	T	subst:pl:inst:m3	lemma=ε lcon=t flex=ami palat=n con=t cat=noun	acronym=14
208	14			Tem	T	subst:sg:inst:m3	lemma=ε lcon=t flex=em palat=n con=t cat=noun	acronym=14
209	14			Tom	T	subst:pl:dat:m3	lemma=ε lcon=t flex=om palat=n con=t cat=noun	acronym=14
210	14			Towi	T	subst:sg:dat:m3	lemma=ε lcon=t flex=owi palat=n con=t cat=noun	acronym=14
211	14			Tu	T	subst:sg:gen:m3	lemma=ε lcon=t flex=u palat=n velar=n con=t cat=noun	acronym=14
212	14			Ty	T	subst:pl:nom.acc.voc:m3	lemma=ε lcon=t flex=y palat=n con=t cat=noun	acronym=14
213	14			Tów	T	subst:pl:gen:m3	lemma=ε lcon=t flex=ów palat=n con=t cat=noun	acronym=14
214	4			V	V	subst:sg:nom.acc:m3	lemma=ε lcon=v flex=ε palat=n con=v cat=noun	acronym=4
215	2			V	V	subst:sg:nom:m2	lemma=ε lcon=v flex=ε palat=n con=v cat=noun	acronym=2
216	1			Va	V	subst:sg:gen.acc:m2	lemma=ε lcon=v flex=a palat=n con=v cat=noun	acronym=1
217	1			Vach	V	subst:pl:loc:m2	lemma=ε lcon=v flex=ach palat=n con=v cat=noun	acronym=1
218	2			Vach	V	subst:pl:loc:m3	lemma=ε lcon=v flex=ach palat=n con=v cat=noun	acronym=2
219	1			Vami	V	subst:pl:inst:m2	lemma=ε lcon=v flex=ami palat=n con=v cat=noun	acronym=1
220	2			Vami	V	subst:pl:inst:m3	lemma=ε lcon=v flex=ami palat=n con=v cat=noun	acronym=2
221	1			Vem	V	subst:sg:inst:m2	lemma=ε lcon=v flex=em palat=n con=v cat=noun	acronym=1
222	2			Vem	V	subst:sg:inst:m3	lemma=ε lcon=v flex=em palat=n con=v cat=noun	acronym=2
223	1			Vom	V	subst:pl:dat:m2	lemma=ε lcon=v flex=om palat=n con=v cat=noun	acronym=1
224	2			Vom	V	subst:pl:dat:m3	lemma=ε lcon=v flex=om palat=n con=v cat=noun	acronym=2
225	1			Vowi	V	subst:sg:dat:m2	lemma=ε lcon=v flex=owi palat=n con=v cat=noun	acronym=1
226	2			Vowi	V	subst:sg:dat:m3	lemma=ε lcon=v flex=owi palat=n con=v cat=noun	acronym=2
227	2			Vu	V	subst:sg:gen:m3	lemma=ε lcon=v flex=u palat=n velar=n con=v cat=noun	acronym=2
228	1			Vy	V	subst:pl:nom.acc.voc:m2	lemma=ε lcon=v flex=y palat=n con=v cat=noun	acronym=1
229	2			Vy	V	subst:pl:nom.acc.voc:m3	lemma=ε lcon=v flex=y palat=n con=v cat=noun	acronym=2
230	1			Vów	V	subst:pl:gen:m2	lemma=ε lcon=v flex=ów palat=n con=v cat=noun	acronym=1
231	2			Vów	V	subst:pl:gen:m3	lemma=ε lcon=v flex=ów palat=n con=v cat=noun	acronym=2
232	4			W	W	subst:sg:nom.acc:m3	lemma=ε lcon=v flex=ε palat=n con=v cat=noun	acronym=4
233	2			Wach	W	subst:pl:loc:m3	lemma=ε lcon=v flex=ach palat=n con=v cat=noun	acronym=2
234	2			Wami	W	subst:pl:inst:m3	lemma=ε lcon=v flex=ami palat=n con=v cat=noun	acronym=2
235	2			Wem	W	subst:sg:inst:m3	lemma=ε lcon=v flex=em palat=n con=v cat=noun	acronym=2
236	2			Wom	W	subst:pl:dat:m3	lemma=ε lcon=v flex=om palat=n con=v cat=noun	acronym=2
