się	się	qub
e	+y	adj:pl:nom.acc.voc:m2.m3.n.f:pos
ych	+y	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
ich	+y	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
ym	+y	adj:pl:dat:_:pos
im	+y	adj:pl:dat:_:pos
ymi	+y	adj:pl:inst:_:pos
imi	+y	adj:pl:inst:_:pos
o	+y	adja





